"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","5800","1470","1470","1440.5","1440.5","1440.5","1440.5","11","59.87","12.02","9225","225","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","5850","0","0","0","1547.15","0","1383.25","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","5900","0","0","0","1571.4","1571.4","1333.4","0","0","0","4575","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","5950","0","0","0","1535.7","0","1283.55","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6000","1275","1275","1190","1240","1244","1240","280","1519.6","259.6","252825","10950","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6050","0","0","0","1578.55","0","1183.85","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6100","0","0","0","1387","1387","1134","0","0","0","1125","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6150","0","0","0","1558.95","0","1084.15","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6200","1080","1080","991.65","1041.85","1046","1041.85","73","397.62","58.17","4275","-3975","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6250","0","0","0","1616","0","984.45","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6300","0","0","0","1025","1025","934.65","0","0","0","6975","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6350","0","0","0","1621.3","0","884.8","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6400","0","0","0","1170.5","1170.5","835.05","0","0","0","300","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6450","0","0","0","1551.35","0","785.3","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6500","787.4","788.55","700","740.65","750","740.65","544","2959.28","307.28","534375","-21375","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6550","0","0","0","770","770","686.15","0","0","0","75","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6600","672.9","672.9","614.3","635.35","635.35","635.35","53","288.47","26.12","24975","1200","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6650","0","0","0","1356.1","0","587.95","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6700","592.55","595.95","513.25","553.05","557","553.05","163","888.3","69.23","37125","-1800","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6750","0","0","0","1259.05","0","491.75","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6800","503.6","503.6","421.85","457.95","470.8","457.95","113","615.42","39.12","259875","1500","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6850","0","0","0","1162.75","0","399.25","0","0","0","0","0","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6900","412","412","333.6","368.2","374.6","368.2","1022","5568.78","279.93","89025","27600","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","6950","325","344","297","305","305","305","132","718.85","30.8","9900","9900","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","7000","320","327","255","286.25","292","286.25","6490","35474.86","1402.36","871875","98550","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","7050","280","285","225","242.7","242.7","242.7","142","779","28.18","10500","10500","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","7100","231.1","247.05","180.95","210.9","214.85","210.9","18243","100059.94","2915.96","1023450","525225","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","7150","191.05","202.55","154.25","174.15","174.9","174.15","232","1273.96","29.86","14625","4500","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","7200","167","175.95","121.25","144.55","148.25","144.55","80188","441964.64","8949.44","1432575","485850","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","7250","140.05","144.8","96.8","116.6","120.5","116.6","12603","69663.83","1135.02","234825","211275","7215.7"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","7300","111.5","117.85","75.6","92.95","96.7","92.95","300110","1664881.76","21779.51","3801600","1717575","7215.7"
