Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Returns,,,,,
16-Feb-15,8831.4,8870.1,8793.4,8809.35,140637331,7047.32,0.006759668,,,return,-0.000817846,-0.204461523
18-Feb-15,8811.55,8894.3,8808.9,8869.1,152152801,10153.74,0.002949722,,,std dev,0.010317714,0.010338922
19-Feb-15,8883.05,8913.45,8794.45,8895.3,219867400,9794.26,-0.006960415,,,,0.010317714,
20-Feb-15,8895.5,8899.95,8816.3,8833.6,203714864,8193.56,-0.008943378,,,,,
23-Feb-15,8856.85,8869,8736.1,8754.95,143932325,7171.05,0.000816348,,,,,
24-Feb-15,8772.9,8800.5,8726.75,8762.1,154368611,7413.31,0.000587586,,,,,
25-Feb-15,8801.9,8840.65,8751.4,8767.25,139406599,6986.78,-0.00955821,,,,,
26-Feb-15,8779,8786.05,8669.45,8683.85,224185492,10531.16,0.018342125,,,,,
27-Feb-15,8729.5,8856.95,8717.45,8844.6,257226273,11924.49,0.006452017,,,,,
28-Feb-15,8913.05,8941.1,8751.35,8901.85,246453954,10064.41,0.006148318,,,,,
02-Mar-15,8953.85,8972.35,8885.45,8956.75,224772586,11525.5,0.004400386,,,,,
03-Mar-15,8962.85,9008.4,8925.55,8996.25,183251960,9033.61,-0.008214836,,,,,
04-Mar-15,9109.15,9119.2,8893.95,8922.65,256060375,12130.98,0.001690892,,,,,
05-Mar-15,8929.4,8957.55,8849.35,8937.75,165081476,8250.55,-0.020459048,,,,,
09-Mar-15,8891.15,8891.3,8740.45,8756.75,160332840,8132.43,-0.005117707,,,,,
10-Mar-15,8769.75,8778,8677.35,8712.05,168916337,8402.33,-0.001389846,,,,,
11-Mar-15,8728.75,8755.6,8682.35,8699.95,178053293,8259.67,0.008703444,,,,,
12-Mar-15,8740.65,8787.2,8732.9,8776,179337979,8184.46,-0.014721551,,,,,
13-Mar-15,8844.05,8849.75,8631.75,8647.75,184665971,8121.26,-0.001689727,,,,,
16-Mar-15,8656.75,8663.55,8612,8633.15,168438040,7559.94,0.010388162,,,,,
17-Mar-15,8689.1,8742.55,8630.8,8723.3,182504639,8086.26,-0.004296585,,,,,
18-Mar-15,8742.9,8747.25,8664,8685.9,161153533,8227.5,-0.005917843,,,,,
19-Mar-15,8749.45,8788.2,8614.65,8634.65,168628424,8460.35,-0.007410433,,,,,
20-Mar-15,8627.9,8627.9,8553,8570.9,179982752,8484.23,-0.002336204,,,,,
23-Mar-15,8591.55,8608.35,8540.55,8550.9,155425780,6195.45,-0.000930159,,,,,
24-Mar-15,8537.05,8627.75,8535.85,8542.95,161465466,7913.26,-0.001423238,,,,,
25-Mar-15,8568.9,8573.75,8516.55,8530.8,165952155,8200.05,-0.022362167,,,,,
26-Mar-15,8474.95,8499.45,8325.35,8342.15,288758332,13667.31,-8.99E-05,,,,,
27-Mar-15,8396,8413.2,8269.15,8341.4,198979321,9528.86,0.017928803,,,,,
30-Mar-15,8390.95,8504.55,8380.75,8492.3,142061290,6713.2,-0.000153092,,,,,
31-Mar-15,8527.6,8550.45,8454.15,8491,177059509,8108.36,0.011155308,,,,,
01-Apr-15,8483.7,8603.4,8464.75,8586.25,136312446,6863.03,0.008541089,,,,,
